level,code,name,parent_code,parent_level
municipality,1321,Tectitán,13,department
municipality,1322,Concepción Huista,13,department
municipality,1323,San Juan Ixcoy,13,department
municipality,1324,San Antonio Huista,13,department
municipality,1325,San Sebastián Coatán,13,department
municipality,1326,Santa Cruz Barillas,13,department
municipality,1327,Aguacatán,13,department
municipality,1328,San Rafael Petzal,13,department
municipality,1329,San Gaspar Ixchil,13,department
municipality,1330,Santiago Chimaltenango,13,department
municipality,1331,Santa Ana Huista,13,department
municipality,1332,Unión Cantinil,13,department
municipality,1333,Petatán,13,department
municipality,1401,Santa Cruz del Quiché,14,department
municipality,1402,Chiché,14,department
municipality,1403,Chinique,14,department
municipality,1404,Zacualpa,14,department
municipality,1405,Chajul,14,department
municipality,1406,Chichicastenango,14,department
municipality,1407,Patzité,14,department
municipality,1408,San Antonio Ilotenango,14,department
municipality,1409,San Pedro Jocopilas,14,department
municipality,1410,Cunén,14,department
municipality,1411,San Juan Cotzal,14,department
municipality,1412,Joyabaj,14,department
municipality,1413,Nebaj,14,department
municipality,1414,San Andrés Sajcabajá,14,department
municipality,1415,Uspantán,14,department
municipality,1416,Sacapulas,14,department
municipality,1417,San Bartolomé Jocotenango,14,department
municipality,1418,Canillá,14,department
municipality,1419,Chicamán,14,department
municipality,1420,Ixcán,14,department
municipality,1421,Pachalum,14,department
municipality,1501,Salamá,15,department
municipality,1502,San Miguel Chicaj,15,department
municipality,1503,Rabinal,15,department
municipality,1504,Cubulco,15,department
municipality,1505,Granados,15,department
municipality,1506,El Chol,15,department
municipality,1507,San Jerónimo,15,department
municipality,1508,Purulhá,15,department
municipality,1601,Cobán,16,department
municipality,1602,Santa Cruz Verapaz,16,department
municipality,1603,San Cristóbal Verapaz,16,department
municipality,1604,Tactic,16,department
municipality,1605,Tamahú,16,department
municipality,1606,Tucurú,16,department
municipality,1607,Panzós,16,department
municipality,1608,Senahú,16,department
municipality,1609,San Pedro Carchá,16,department
municipality,1610,San Juan Chamelco,16,department
municipality,1611,Lanquín,16,department
municipality,1612,Cahabón,16,department
municipality,1613,Chisec,16,department
municipality,1614,Chahal,16,department
municipality,1615,Fray Bartolomé de las Casas,16,department
municipality,1616,Santa Catalina La Tinta,16,department
municipality,1617,Raxruhá,16,department
municipality,1701,Flores,17,department
municipality,1702,San José (PE),17,department
municipality,1703,San Benito,17,department
municipality,1704,San Andrés,17,department
municipality,1705,La Libertad,17,department
municipality,1706,San Francisco,17,department
municipality,1707,Santa Ana,17,department
municipality,1708,Dolores,17,department
municipality,1709,San Luis,17,department
municipality,1710,Sayaxché,17,department
municipality,1711,Melchor de Mencos,17,department
municipality,1712,Poptún,17,department
municipality,1713,Las Cruces,17,department
municipality,1714,El Chal,17,department
municipality,1801,Puerto Barrios,18,department
municipality,1802,Livingston,18,department
municipality,1803,El Estor,18,department
municipality,1804,Morales,18,department
municipality,1805,Los Amates,18,department
municipality,1901,Zacapa,19,department
municipality,1902,Estanzuela,19,department
municipality,1903,Río Hondo,19,department
municipality,1904,Gualán,19,department
municipality,1905,Teculután,19,department
municipality,1906,Usumatlán,19,department
municipality,1907,Cabañas,19,department
municipality,1908,San Diego,19,department
municipality,1909,La Unión,19,department
municipality,1910,Huité,19,department
municipality,1911,San Jorge,19,department
municipality,2001,Chiquimula,20,department
municipality,2002,San José La Arada,20,department
municipality,2003,San Juan Ermita,20,department
municipality,2004,Jocotán,20,department
municipality,2005,Camotán,20,department
municipality,2006,Olopa,20,department
municipality,2007,Esquipulas,20,department
municipality,2008,Concepción Las Minas,20,department
municipality,2009,Quezaltepeque,20,department
municipality,2010,San Jacinto,20,department
municipality,2011,Ipala,20,department
municipality,2101,Jalapa,21,department
municipality,2102,San Pedro Pinula,21,department
municipality,2103,San Luis Jilotepeque,21,department
municipality,2104,San Manuel Chaparrón,21,department
municipality,2105,San Carlos Alzatate,21,department
municipality,2106,Monjas,21,department
municipality,2107,Mataquescuintla,21,department
municipality,2201,Jutiapa,22,department
municipality,2202,El Progreso (JU),22,department
municipality,2203,Santa Catarina Mita,22,department
municipality,2204,Agua Blanca,22,department
municipality,2205,Asunción Mita,22,department
municipality,2206,Yupiltepeque,22,department
municipality,2207,Atescatempa,22,department
municipality,2208,Jerez,22,department
municipality,2209,El Adelanto,22,department
municipality,2210,Zapotitlán,22,department
municipality,2211,Comapa,22,department
municipality,2212,Jalpatagua,22,department
municipality,2213,Conguaco,22,department
municipality,2214,Moyuta,22,department
municipality,2215,Pasaco,22,department
municipality,2216,San José Acatempa,22,department
municipality,2217,Quesada,22,department
